Structure,Cohen's_d_3T,Cohen's_d_all,SE,Z-score,95,%,CI,P_value_3T,P_value_all,I2,N_controls,N_cases
R_supramarginal,-0.23,-0.22,0.06,-4.07,-0.34,-,-0.12,4.65X10-5,5.24X10-5,53.44,1531,1906
R_rostralmiddlefrontal,-0.22,-0.2,0.06,-4.01,-0.33,-,-0.11,6.01X10-5,5.94X10-4,52.28,1588,1991
L_temporalpole,-0.21,-0.2,0.06,-3.44,-0.34,-,-0.09,5.76X10-4,7.49X10-4,61.85,1578,1990
R_cuneus,-0.21,-0.2,0.04,-5.35,-0.29,-,-0.13,8.88X10-8,9.68X10-8,11.43,1586,1990
R_parstriangularis,-0.21,-0.2,0.04,-5.7,-0.28,-,-0.14,1.22X10-8,4.25X10-8,3.05,1586,1991
L_middletemporal,-0.21,-0.2,0.07,-2.91,-0.35,-,-0.07,3.65X10-3,4.01X10-3,70.19,1483,1893
L_inferiorparietal,-0.21,-0.2,0.07,-2.87,-0.35,-,-0.07,4.05X10-3,5.29X10-3,71.93,1573,1985
L_parstriangularis,-0.2,-0.19,0.05,-3.92,-0.31,-,-0.1,8.89X10-5,1.29X10-4,45.84,1584,1993
L_lateraloccipital,-0.19,-0.19,0.09,-2.05,-0.38,-,-0.01,4.00X10-2,3.58X10-2,83.97,1584,1993
R_lateraloccipital,-0.19,-0.2,0.07,-2.75,-0.33,-,-0.06,5.99X10-3,1.77X10-3,70.64,1587,1991
L_transversetemporal,-0.19,-0.19,0.04,-4.27,-0.28,-,-0.1,1.97X10-5,1.05X10-5,28.81,1581,1994
L_fusiform,-0.19,-0.19,0.06,-2.98,-0.31,-,-0.07,2.86X10-3,2.10X10-3,63.91,1581,1991
R_temporalpole,-0.18,-0.18,0.05,-3.45,-0.29,-,-0.08,5.63X10-4,5.51X10-4,48.72,1584,1986
R_inferiorparietal,-0.18,-0.17,0.08,-2.43,-0.33,-,-0.04,1.52X10-2,2.15X10-2,74.5,1577,1978
R_transversetemporal,-0.18,-0.18,0.05,-3.99,-0.27,-,-0.09,6.67X10-5,2.81X10-5,30.17,1588,1992
L_lingual,-0.18,-0.18,0.09,-2.01,-0.35,-,0,4.45X10-2,3.50X10-2,81.92,1583,1994
R_parsopercularis,-0.17,-0.18,0.04,-4.52,-0.25,-,-0.1,6.15X10-6,6.48X10-7,8.2,1586,1992
L_superiortemporal,-0.17,-0.18,0.08,-2.03,-0.34,-,-0.01,4.19X10-2,2.62X10-2,78.87,1469,1875
L_parsorbitalis,-0.17,-0.15,0.05,-3.7,-0.26,-,-0.08,2.14X10-4,2.37X10-3,31.23,1584,1992
L_parsopercularis,-0.16,-0.15,0.06,-2.78,-0.28,-,-0.05,5.47X10-3,7.12X10-3,57.82,1582,1992
L_rostralmiddlefrontal,-0.16,-0.15,0.06,-2.57,-0.29,-,-0.04,1.02X10-2,2.15X10-2,63.69,1583,1990
R_parsorbitalis,-0.16,-0.14,0.05,-3.13,-0.26,-,-0.06,1.75X10-3,8.27X10-3,45.14,1588,1990
R_lingual,-0.16,-0.16,0.05,-3.07,-0.26,-,-0.06,2.14X10-3,8.14X10-4,43.24,1587,1989
R_entorhinal,-0.15,-0.16,0.06,-2.58,-0.26,-,-0.04,9.77X10-3,4.24X10-3,44.89,1319,1636
L_cuneus,-0.14,-0.16,0.1,-1.42,-0.33,-,0.05,1.56X10-1,7.27X10-2,85.1,1582,1994
L_postcentral,-0.14,-0.13,0.09,-1.48,-0.32,-,0.05,1.39X10-1,1.67X10-1,83.75,1581,1989
R_lateralorbitofrontal,-0.13,-0.11,0.05,-2.47,-0.24,-,-0.03,1.34X10-2,3.87X10-2,49.86,1585,1990
R_middletemporal,-0.13,-0.12,0.04,-3.26,-0.21,-,-0.05,1.12X10-3,3.02X10-3,14.01,1577,1983
R_pericalcarine,-0.13,-0.13,0.05,-2.38,-0.23,-,-0.02,1.72X10-2,9.15X10-3,47.12,1588,1989
R_frontalpole,-0.12,-0.11,0.05,-2.46,-0.22,-,-0.02,1.39X10-2,2.37X10-2,40.44,1588,1990
L_pericalcarine,-0.12,-0.13,0.09,-1.31,-0.3,-,0.06,1.91X10-1,1.43X10-1,83.5,1584,1992
R_superiortemporal,-0.12,-0.12,0.06,-1.93,-0.24,-,0,5.32X10-2,3.84X10-2,60.72,1491,1893
R_postcentral,-0.12,-0.12,0.11,-1.13,-0.33,-,0.09,2.57X10-1,2.49X10-1,87.35,1582,1990
L_parahippocampal,-0.12,-0.1,0.05,-2.49,-0.21,-,-0.02,1.28X10-2,1.83X10-2,32.14,1571,1983
R_fusiform,-0.11,-0.12,0.05,-2.21,-0.2,-,-0.01,2.74X10-2,8.56X10-3,36.43,1588,1990
R_parahippocampal,-0.1,-0.09,0.04,-2.87,-0.17,-,-0.03,4.17X10-3,6.95X10-3,0.01,1584,1986
L_posteriorcingulate,-0.1,-0.08,0.04,-2.2,-0.18,-,-0.01,2.78X10-2,6.01X10-2,27.5,1584,1992
R_posteriorcingulate,-0.1,-0.07,0.06,-1.61,-0.21,-,0.02,1.06X10-1,2.65X10-1,59.49,1588,1989
L_bankssts,-0.1,-0.09,0.08,-1.15,-0.26,-,0.07,2.48X10-1,2.45X10-1,77.56,1521,1865
L_frontalpole,-0.09,-0.08,0.05,-1.8,-0.18,-,0.01,7.17X10-2,1.04X10-1,34.88,1582,1991
L_inferiortemporal,-0.08,-0.09,0.06,-1.37,-0.2,-,0.04,1.70X10-1,1.37X10-1,58.7,1583,1988
L_lateralorbitofrontal,-0.08,-0.07,0.05,-1.64,-0.17,-,0.02,1.01X10-1,1.46X10-1,36.45,1579,1993
R_medialorbitofrontal,-0.07,-0.05,0.04,-2,-0.14,-,0,4.55X10-2,1.26X10-1,0,1570,1958
R_inferiortemporal,-0.06,-0.07,0.04,-1.79,-0.13,-,0.01,7.34X10-2,8.36X10-2,0,1586,1990
L_isthmuscingulate,-0.05,-0.05,0.04,-1.41,-0.13,-,0.02,1.59X10-1,1.72X10-1,6.35,1583,1990
R_bankssts,-0.04,-0.06,0.07,-0.65,-0.18,-,0.09,5.17X10-1,3.66X10-1,67.78,1558,1956
R_insula,-0.03,-0.02,0.05,-0.63,-0.12,-,0.06,5.27X10-1,6.42X10-1,35.04,1549,1965
L_rostralanteriorcingulate,-0.02,-0.01,0.06,-0.31,-0.14,-,0.1,7.55X10-1,8.34X10-1,60.56,1579,1981
L_medialorbitofrontal,0,0.01,0.04,-0.07,-0.07,-,0.07,9.43X10-1,8.82X10-1,0,1566,1963
R_caudalanteriorcingulate,0,0.01,0.06,0.03,-0.12,-,0.13,9.78X10-1,8.24X10-1,64.73,1586,1989
R_isthmuscingulate,0.02,0.01,0.05,0.29,-0.09,-,0.12,7.70X10-1,8.56X10-1,44.84,1585,1990
L_insula,0.03,0.01,0.05,0.61,-0.06,-,0.12,5.44X10-1,7.73X10-1,33.62,1544,1959
L_caudalanteriorcingulate,0.05,0.04,0.04,1.24,-0.03,-,0.14,2.14X10-1,3.59X10-1,24.59,1579,1978
R_rostralanteriorcingulate,0.07,0.09,0.05,1.47,-0.03,-,0.17,1.43X10-1,8.64X10-2,43.23,1586,1988
